subject_id,experiment_version,condition,seed,age_group,family_id,room,date,age_mos,age_day_count,experimenter,pilot,exclude,complete,notes,exclude_round_1,exclude_round_2,exclude_round_3,exclude_round_4,participant_level_exclusion,parent_exp_mentions_animal,selection_role_issues,further_review,,
p093,exp_v1,14,106,3,4120a,fishbowl ,4/13/2023,36,1,AG,n,n?,n,"kid tapped for mom once during sampling in round 1, also tapped for mom during sampling round 2, started to get jittery and didn't want to finish the experiment after round 2. We started round three, but child kept getting up to go to mom and insisted on not finishing. I gave it a couple more tries, but we stopped during round 3. At one point we switched the chairs (she wanted to sit in the white chair) during round 2/3 but didn't change placement. mom sat in tiny chair instead. Child also wanted to play with a specific toy during the break (she would only leave the main playroom if we brought it with) so we played with a toy pizza set during the break instead of coloring or building. ",n,n,y,NA,n,n,y,n,,1
p094,exp_v1,15,107,4,3500a,fishbowl ,4/13/2023,54,16,ELM,n,n,y,"mom talked about pengalin during pre-test survey, kid looked up to mom for guidance when she didn't know the answer and the mom would nod yes so this might've influenced her but otherwise went great!",n,n,n,n,n,n,n,y,,1
p095,exp_v1,16,108,5,3248b,fishbowl,4/17/2023,62,5,ELM,n,n,y,"INIT FILE ALREADY MADE! had to really encourage kid to keep going; he pressed for mom a couple times, I accidentally pressed once; I kind of said an animal name; but we powered through and did all 4 rounds! also it seemed like kid was guessing for some of it (going very fast)",n,n,n,n,n,n,y,n,,1
p096,exp_v1,17,109,4,3641a,fishbowl,4/18/23,51,21,EVH,n,?,y,"Mom said animal names at least once in every learning phase, but never during the test phase
kid was cooperative and no issues on his end",n,n,n,n,n,y,n,y,,1
p097,exp_v1,18,110,3,4946a,fishbowl,4/19/2023,39,26,ECR,n,n,y,"such a sweet kid! 
- she was only 3 so needed a lot of prompting on pressing the red button, was a bit squirmy and said her fingers hurt at one point but she made it through! did need a few extra 'good jobs' to do so though, but i avoided direct reinforcement (even though she would look at my face every time). 
- she had a giraffe toy with her from the lobby, and so that meant we often used the word giraffe to refer to the toy, but i allowed it because there was no giraffe in the experiment. 
- mom said two animal names in the first sampling round after they were presented by the ipad (sloth and one other) and then she said ""pig"" and ""dog"" a couple of times because the child was enthusiastic about the ones she knew. 
- child tapped once for mom in round 3 (i think? it was passive - passive but i'm not sure what number)
- there were a couple of times (~4) where she would press the button, listen, and then get distracted so i had to repeat the direction when i got her refocused. one time, she talked over the directions and i was pretty sure it was manatee so that's what i said but i'm not 100%.
- had some trouble tapping but it never affected her choices
- they did post surveys on my computer because survey ipad is missing and i couldn't find a way to get the links onto the other ipad",n,n,n,n,n,y,n,n,,1
p098,exp_v1,19,111,4,1985b,fishbowl,4/24/23,53,18,EVH,n,n,y,"child was not very enthusiastic but there were no tapping issues and parent never said any of the animal names, so it went pretty well ",n,n,n,n,n,n,n,n,,1
p099,exp_v1,20,112,3,4553a,fishbowl ,4/25/2023,44,19,AG,n,n,y,"INIT FILE ALREADY MADE; appointment ran well, no tapping issues. kid was shy about tapping in ronud 1 so i supported a few taps. mom said animal name during sampling of round 1 (and so did i by accident!). mom said animal name again during sampling of round 2 but quickly corrected. ",n,n,n,n,n,y,n,n,,1
p100,exp_v1,21,113,4,4985a,fishbowl ,4/25/2023,52,21,AG,n,n?,y,"mom said animal names during first three sampling phases, sib was present (went over this with Martin in advance) but sib was quite vocal and was walking around the experiment room a bit. had to support some tapping. ",n,n,n,n,n,y,n,y,,1
p101,exp_v1,22,114,5,1322c,fishbowl,4/26/2023,69,22,AG,n,n,y,"mom said animal names during round 1 and round 3. kid was very very energetic and i had to pull the ipad back during round 3 to take a breath and remind him to tap gently and only with one finger. I supported his taps a few times during round 4, and once during round 2. kid tapped for mom twice during active sampling of round 3. ",n,n,n,n,n,y,y,n,,1
p102,exp_v1,23,115,4,3173a,fishbowl,4/26/2023,57,14,ECR,n,n,y,"super sweet family! if you ever need a video to show off this one would be perfect because he says everything he thinks out loud lol. kiddo tapped for mom once in round two (armadillo), and mom said animal name once in round four, but she was repeating what he said. also, mom was giving the kid the strategy of tapping the one's he didn't know (it was passive-active) in round four so he could ""win the game"" - not really an issue just something to note! took a bathroom break between round 3 and 4, but other than that very smooth appointment!!",n,n,n,n,n,y,y,y,,1
p103,exp_v1,0,100,4,506b,fishbowl,4/27/2023,59,22,ELM,n,n,y,"kid was super focused! i accidentally pressed the red button twice for him and the volume wouldnt work on the first round so had to refresh but otherwise super smooth and easy!

""the volume didnt work in the first trial of the first round. I refreshed and restarted and that fixed the issue""",n,n,n,n,n,n,n,n,,1
p104,exp_v1,1,101,5,3220b,fishbowl,4/27/2023,71,26,MZ,n,n,y,"was very nervous for words that he was uncertain about in the first two rounds; I offered the ""circling"" technique (say stop when I should click), which he liked and used 3-4 times in the first two rounds. Two of those led to ""misclicks"" of the elephant, but child was guessing anyway (and their intended selection was going to be incorrect); on two instances during the sampling phase, he clicked for mom (one especially sneaky instance, he snuck in a porcupine selection for the mom); otherwise great and fairly attentive throughout; some great explicit articulations of uncertainty along the way",n,n,n,n,n,n,y,y,,1
p105,exp_v1,2,102,4,3033c,fishbowl,4/28/23,59,6,EVH,n,y,n,"round 1 went okay
learning phase for round 2 went bad, kid tapped for dad half of the time 
round 3 had to be restarted because kid wasn't cooperating and kept exiting out of the tab, even though I Tried to put it on locked mode, so we had to restart. then he kept pressing when it was dad's turn. also he had to sit next to the dad 
he was very hyperactive and not cooperative and his results probably shouldn't be used because of how messed up the learning phases got 

no round 4",n,y,y,NA,y,n,y,y,,0
p106,exp_v1,3,103,3,4162a,fishbowl,4/28/2023,36,1,ECR,n,y?,n,"she turned three yesterday, so was really young! she did well, but tapped for dad three times in first round sampling. dad said animal name very first time but realized his mistake. in second round, she totally didn't get the active sampling and tried to hit both animals at once so ended up only getting the right one every time. really had to lean on the stickers to get her through round two, she was getting antsy. after break we did all we could but she was not having it so we finally gave up on doing round 3 and 4. ",y,y,NA,NA,y,y,y,y,,0
p107,exp_v1,4,104,4,3550a,fishbowl,5/1/2023,53,9,AG,n,n,y,"kid tapped for mom one during sampling in round 2, mom then tapped for kid. mom said animal once during round 2. kid tapped for mom one during sampling in round 3, mom then tapped for kid. mom said two animal names during round 3. other than that, perfect appointment!",n,n,n,n,n,y,y,y,,1
p108,exp_v1,5,105,4,3237a,fishbowl,5/5/2023,59,27,AG,n,n,y,"no issues with tapping. during round 4 in the test phase, the kid kept tapping turtle for each animal and said ""i like turtles so im gonna pick turtle"". after that, I reminded her to try and find the animal the ipad says after she pressed the red button. ",n,n,n,n,n,n,n,n,,1
p109,exp_v1,6,106,4,179b,fishbowl,5/8/2023,58,12,AG,n,n,y,"great appointment. mom said animal name during sampling of round 3 and during pre-test of round 4 - she heard that child had to find flamingo and then said ""you love flamingos"". child got tired at the end ",n,n,n,n,n,y,n,n,,1
p110,exp_v1,7,107,3,4898a,fishbowl ,5/12/2023,47,5,AG,n,n,y,,n,n,n,n,n,n,n,y,,1
p111,exp_v1,8,108,4,3517b,fishbowl ,5/16/2023,54,4,AG,n,n,y,kid tapped for mom once during sampling of round 2; other than this it was a perfect appt! ,n,n,n,n,n,n,y,n,,1
p112,exp_v1,9,109,5,3704a,fishbowl ,5/19/2023,61,28,AG,n,n,y,"perfect, i had to support kid's tap once during pre-test phase of round 2. ",n,n,n,n,n,n,n,n,,1
p113,exp_v1,10,110,3,309b,fishbowl ,6/13/2023,37,5,AG,n,n,y,great appt,n,n,n,n,n,n,n,n,,1
p114,exp_v1,11,111,5,3553a,fishbowl ,6/16/2023,64,18,AG,n,y?,n,"kid was having a very rough day, cried at several points throughout appt. round one was complicated by sib being in the room, and target child kept tapping for mom. overall, the kid was not having it today, and I stopped after sampling in round 2 because she seemed very distressed. ",y,NA,NA,NA,y,n,n,n,,0
p115,exp_v1,12,112,3,4267a,fishbowl ,6/28/2023,41,25,AG,n ,,,will look at the video today and make my notes! so sorry! - AG,n,n,n,n,n,n,n,y,,1
p116,exp_v1,13,113,3,5276b,fishbowl ,9/11/23,46,24,AG,n,n,y,"kid was good, got very unfocused and wriggly at the end of round 2. after break, still was a little wriggly (would flop on floor) and I had to support his tapping quite a bit. eror message with saving data after one round, sent photo to martin. ",n,n,n,n,n,n,n,n,,1
,,,,,,,,,,,,,,,,,,,,,,,,98
